Unnamed: 0,id,text,Hashtags,date,follower_count
256,1393302130329534470,What gRPC #grpc #rpc #protobuf #rest #api #google #cplusplus #java #dev #web #programming #python #java #php,"[{'text': 'grpc', 'indices': [39, 44]}, {'text': 'rpc', 'indices': [45, 49]}, {'text': 'protobuf', 'indices': [50, 59]}, {'text': 'rest', 'indices': [60, 65]}, {'text': 'api', 'indices': [66, 70]}, {'text': 'google', 'indices': [71, 78]}, {'text': 'cplusplus', 'indices': [79, 89]}, {'text': 'java', 'indices': [90, 95]}, {'text': 'dev', 'indices': [96, 100]}, {'text': 'web', 'indices': [101, 105]}, {'text': 'programming', 'indices': [106, 118]}, {'text': 'python', 'indices': [119, 126]}, {'text': 'java', 'indices': [127, 132]}, {'text': 'php', 'indices': [133, 137]}]",2021-05-14 20:28:08,353
257,1393302124054908940,What gRPC #grpc #rpc #protobuf #rest #api #google #cplusplus #java #dev #web #programming #python #java #php,"[{'text': 'grpc', 'indices': [39, 44]}, {'text': 'rpc', 'indices': [45, 49]}, {'text': 'protobuf', 'indices': [50, 59]}, {'text': 'rest', 'indices': [60, 65]}, {'text': 'api', 'indices': [66, 70]}, {'text': 'google', 'indices': [71, 78]}, {'text': 'cplusplus', 'indices': [79, 89]}, {'text': 'java', 'indices': [90, 95]}, {'text': 'dev', 'indices': [96, 100]}, {'text': 'web', 'indices': [101, 105]}, {'text': 'programming', 'indices': [106, 118]}, {'text': 'python', 'indices': [119, 126]}, {'text': 'java', 'indices': [127, 132]}, {'text': 'php', 'indices': [133, 137]}]",2021-05-14 20:28:07,651
258,1393302120544161794,Better Way Business Solutions #Google,"[{'text': 'Google', 'indices': [35, 42]}]",2021-05-14 20:28:06,346
259,1393302101812449284,What gRPC #grpc #rpc #protobuf #rest #api #google #cplusplus #java #dev #web #programming #python #java #php,"[{'text': 'grpc', 'indices': [39, 44]}, {'text': 'rpc', 'indices': [45, 49]}, {'text': 'protobuf', 'indices': [50, 59]}, {'text': 'rest', 'indices': [60, 65]}, {'text': 'api', 'indices': [66, 70]}, {'text': 'google', 'indices': [71, 78]}, {'text': 'cplusplus', 'indices': [79, 89]}, {'text': 'java', 'indices': [90, 95]}, {'text': 'dev', 'indices': [96, 100]}, {'text': 'web', 'indices': [101, 105]}, {'text': 'programming', 'indices': [106, 118]}, {'text': 'python', 'indices': [119, 126]}, {'text': 'java', 'indices': [127, 132]}, {'text': 'php', 'indices': [133, 137]}]",2021-05-14 20:28:02,4314
260,1393301874867048449,#Italy Fines #Google for Excluding Car App #Sanctions #Chinese Official for Abuses NTD News WATCH HERE,"[{'text': 'Italy', 'indices': [14, 20]}, {'text': 'Google', 'indices': [27, 34]}, {'text': 'Sanctions', 'indices': [63, 73]}, {'text': 'Chinese', 'indices': [74, 82]}]",2021-05-14 20:27:07,699
261,1393301845439926273,What gRPC #grpc #rpc #protobuf #rest #api #google #cplusplus #java #dev #web #programming #python #java #php,"[{'text': 'grpc', 'indices': [39, 44]}, {'text': 'rpc', 'indices': [45, 49]}, {'text': 'protobuf', 'indices': [50, 59]}, {'text': 'rest', 'indices': [60, 65]}, {'text': 'api', 'indices': [66, 70]}, {'text': 'google', 'indices': [71, 78]}, {'text': 'cplusplus', 'indices': [79, 89]}, {'text': 'java', 'indices': [90, 95]}, {'text': 'dev', 'indices': [96, 100]}, {'text': 'web', 'indices': [101, 105]}, {'text': 'programming', 'indices': [106, 118]}, {'text': 'python', 'indices': [119, 126]}, {'text': 'java', 'indices': [127, 132]}, {'text': 'php', 'indices': [133, 137]}]",2021-05-14 20:27:00,4612
262,1393301836589846531,What gRPC #grpc #rpc #protobuf #rest #api #google #cplusplus #java #dev #web #programming #python #java #php,"[{'text': 'grpc', 'indices': [39, 44]}, {'text': 'rpc', 'indices': [45, 49]}, {'text': 'protobuf', 'indices': [50, 59]}, {'text': 'rest', 'indices': [60, 65]}, {'text': 'api', 'indices': [66, 70]}, {'text': 'google', 'indices': [71, 78]}, {'text': 'cplusplus', 'indices': [79, 89]}, {'text': 'java', 'indices': [90, 95]}, {'text': 'dev', 'indices': [96, 100]}, {'text': 'web', 'indices': [101, 105]}, {'text': 'programming', 'indices': [106, 118]}, {'text': 'python', 'indices': [119, 126]}, {'text': 'java', 'indices': [127, 132]}, {'text': 'php', 'indices': [133, 137]}]",2021-05-14 20:26:58,3831
263,1393301836300439558,What gRPC #grpc #rpc #protobuf #rest #api #google #cplusplus #java #dev #web #programming #python #java #php,"[{'text': 'grpc', 'indices': [39, 44]}, {'text': 'rpc', 'indices': [45, 49]}, {'text': 'protobuf', 'indices': [50, 59]}, {'text': 'rest', 'indices': [60, 65]}, {'text': 'api', 'indices': [66, 70]}, {'text': 'google', 'indices': [71, 78]}, {'text': 'cplusplus', 'indices': [79, 89]}, {'text': 'java', 'indices': [90, 95]}, {'text': 'dev', 'indices': [96, 100]}, {'text': 'web', 'indices': [101, 105]}, {'text': 'programming', 'indices': [106, 118]}, {'text': 'python', 'indices': [119, 126]}, {'text': 'java', 'indices': [127, 132]}, {'text': 'php', 'indices': [133, 137]}]",2021-05-14 20:26:58,308
264,1393301813923885057,What gRPC #grpc #rpc #protobuf #rest #api #google #cplusplus #java #dev #web #programming #python #java,"[{'text': 'grpc', 'indices': [18, 23]}, {'text': 'rpc', 'indices': [24, 28]}, {'text': 'protobuf', 'indices': [29, 38]}, {'text': 'rest', 'indices': [39, 44]}, {'text': 'api', 'indices': [45, 49]}, {'text': 'google', 'indices': [50, 57]}, {'text': 'cplusplus', 'indices': [58, 68]}, {'text': 'java', 'indices': [69, 74]}, {'text': 'dev', 'indices': [75, 79]}, {'text': 'web', 'indices': [80, 84]}, {'text': 'programming', 'indices': [85, 97]}, {'text': 'python', 'indices': [98, 105]}, {'text': 'java', 'indices': [106, 111]}]",2021-05-14 20:26:53,546
265,1393301345562734601,What new with Google Cloud #GCP #Google #GoogleWorkspace #InsideGoogleCloud,"[{'text': 'GCP', 'indices': [53, 57]}, {'text': 'Google', 'indices': [58, 65]}, {'text': 'GoogleWorkspace', 'indices': [66, 82]}, {'text': 'InsideGoogleCloud', 'indices': [83, 101]}]",2021-05-14 20:25:01,185
